quarter,region,house_type,avg_sqm_price_real,n_transactions,cumulative_max,drawdown_pct
1996Q1,Bornholm,Apartment,24008.0,6,24008.0,0.0
1996Q3,Bornholm,Apartment,23074.4,8,24008.0,-3.89
1997Q3,Bornholm,Apartment,18366.3,5,24008.0,-23.5
1999Q2,Bornholm,Apartment,99418.3,5,99418.3,0.0
2001Q2,Bornholm,Apartment,19996.2,14,99418.3,-79.89
2002Q3,Bornholm,Apartment,39404.7,13,99418.3,-60.36
2003Q3,Bornholm,Apartment,21939.4,12,99418.3,-77.93
2003Q4,Bornholm,Apartment,28410.1,8,99418.3,-71.42
2005Q1,Bornholm,Apartment,15305.6,5,99418.3,-84.6
2005Q2,Bornholm,Apartment,25872.2,9,99418.3,-73.98
2005Q3,Bornholm,Apartment,17112.1,15,99418.3,-82.79
2006Q2,Bornholm,Apartment,20916.7,7,99418.3,-78.96
2006Q4,Bornholm,Apartment,33296.2,12,99418.3,-66.51
2007Q1,Bornholm,Apartment,38752.8,9,99418.3,-61.02
2007Q2,Bornholm,Apartment,33836.4,14,99418.3,-65.97
2007Q3,Bornholm,Apartment,31786.4,10,99418.3,-68.03
2008Q1,Bornholm,Apartment,22147.7,6,99418.3,-77.72
2009Q3,Bornholm,Apartment,17247.2,8,99418.3,-82.65
2010Q4,Bornholm,Apartment,16546.4,8,99418.3,-83.36
2014Q1,Bornholm,Apartment,12458.8,5,99418.3,-87.47
2014Q4,Bornholm,Apartment,43598.1,6,99418.3,-56.15
2015Q2,Bornholm,Apartment,23547.0,7,99418.3,-76.32
2015Q4,Bornholm,Apartment,11993.8,8,99418.3,-87.94
2016Q2,Bornholm,Apartment,10795.9,6,99418.3,-89.14
2016Q3,Bornholm,Apartment,24589.7,8,99418.3,-75.27
2017Q3,Bornholm,Apartment,46946.6,16,99418.3,-52.78
2017Q4,Bornholm,Apartment,17065.9,14,99418.3,-82.83
2018Q1,Bornholm,Apartment,37773.0,8,99418.3,-62.01
2018Q3,Bornholm,Apartment,7844.9,5,99418.3,-92.11
2018Q4,Bornholm,Apartment,32448.3,17,99418.3,-67.36
2019Q1,Bornholm,Apartment,13977.4,6,99418.3,-85.94
2019Q2,Bornholm,Apartment,31615.1,6,99418.3,-68.2
2019Q4,Bornholm,Apartment,29644.1,18,99418.3,-70.18
2020Q1,Bornholm,Apartment,62335.0,27,99418.3,-37.3
2020Q3,Bornholm,Apartment,43627.2,21,99418.3,-56.12
2020Q4,Bornholm,Apartment,19549.2,8,99418.3,-80.34
2021Q1,Bornholm,Apartment,36159.3,11,99418.3,-63.63
2021Q2,Bornholm,Apartment,36303.9,12,99418.3,-63.48
2021Q3,Bornholm,Apartment,25223.2,5,99418.3,-74.63
2021Q4,Bornholm,Apartment,32020.2,9,99418.3,-67.79
2022Q1,Bornholm,Apartment,22511.3,7,99418.3,-77.36
2022Q2,Bornholm,Apartment,28076.6,12,99418.3,-71.76
2022Q3,Bornholm,Apartment,21454.8,47,99418.3,-78.42
2022Q4,Bornholm,Apartment,18543.7,5,99418.3,-81.35
2023Q1,Bornholm,Apartment,17796.0,7,99418.3,-82.1
2023Q2,Bornholm,Apartment,41593.0,13,99418.3,-58.16
2023Q3,Bornholm,Apartment,27353.4,6,99418.3,-72.49
2023Q4,Bornholm,Apartment,29204.3,14,99418.3,-70.62
2024Q1,Bornholm,Apartment,12762.0,10,99418.3,-87.16
2024Q2,Bornholm,Apartment,32443.9,7,99418.3,-67.37
2024Q3,Bornholm,Apartment,26911.2,9,99418.3,-72.93
1996Q1,Bornholm,Farm,5330.5,7,5330.5,0.0
1996Q2,Bornholm,Farm,8499.2,6,8499.2,0.0
1996Q3,Bornholm,Farm,9559.7,6,9559.7,0.0
