model,feature,importance
M1_Linear,rolling_regional_p90,0.18124225932579532
M1_Linear,rolling_regional_std,0.1337566840156502
M1_Linear,rolling_regional_mean,0.12128189259665187
M1_Linear,rolling_regional_median,0.07979431970339579
M1_Linear,year,0.058460339618297184
M1_Linear,city_frequency,0.04701695848859136
M1_Linear,region_Zealand,0.04224686631724334
M1_Linear,house_type_Villa,0.03654744952797209
M1_Linear,zip_code_frequency,0.033573072367815135
M1_Linear,region_Jutland,0.030646529588702714
M1_Linear,no_rooms,0.029220689320597865
M1_Linear,rolling_regional_cv,0.0283083108808496
M1_Linear,region_Fyn & islands,0.025253361634049183
M1_Linear,house_type_Summerhouse,0.02287924792054514
M1_Linear,sqm,0.021020433671402453
M1_Linear,rooms_sqm_interaction,0.013957886125643007
M1_Linear,sales_type_frequency,0.01154373473191757
M1_Linear,house_type_Townhouse,0.011106771523257838
M1_Linear,rooms_sqm_ratio,0.009707901609541767
M1_Linear,nom_interest_rate_pct,0.008728024145854102
M2_Ridge,rolling_regional_p90,0.1811053820929041
M2_Ridge,rolling_regional_std,0.1337859256314734
M2_Ridge,rolling_regional_mean,0.1207096674631941
M2_Ridge,rolling_regional_median,0.07935313785197066
M2_Ridge,year,0.05851622176083754
M2_Ridge,city_frequency,0.047191758199157725
M2_Ridge,region_Zealand,0.04226727185171665
M2_Ridge,house_type_Villa,0.0366816487900164
M2_Ridge,zip_code_frequency,0.03370370042895061
M2_Ridge,region_Jutland,0.030647191609243542
M2_Ridge,no_rooms,0.028833046318378606
M2_Ridge,rolling_regional_cv,0.02819634727496172
M2_Ridge,region_Fyn & islands,0.025286994066259783
M2_Ridge,house_type_Summerhouse,0.023080178878630828
M2_Ridge,sqm,0.021263822268790984
M2_Ridge,rooms_sqm_interaction,0.013822759063932037
M2_Ridge,sales_type_frequency,0.011586943816941142
M2_Ridge,house_type_Townhouse,0.0111472163825727
M2_Ridge,rooms_sqm_ratio,0.00905914664429003
M2_Ridge,nom_interest_rate_pct,0.008741957914858652
M3_RandomForest,rolling_regional_median,0.2062801173934897
M3_RandomForest,sqm,0.14274282625152845
M3_RandomForest,city_frequency,0.0774153765977695
M3_RandomForest,rolling_regional_cv,0.06759022698369921
M3_RandomForest,house_type_Summerhouse,0.06545992234666236
M3_RandomForest,year,0.054702105749907685
M3_RandomForest,property_age,0.053581884641573777
M3_RandomForest,year_build,0.05304413986300057
M3_RandomForest,sales_type_frequency,0.04795410915686003
M3_RandomForest,house_type_Villa,0.047723348232329224
M3_RandomForest,age_x_villa,0.04339545291237017
M3_RandomForest,zip_code_frequency,0.037141853262066225
M3_RandomForest,rooms_sqm_interaction,0.027781063826722387
M3_RandomForest,house_type_Townhouse,0.016213317435513942
M3_RandomForest,house_type_Farm,0.011502348386358257
M3_RandomForest,rolling_regional_count,0.00813009073743679
M3_RandomForest,rolling_regional_p90,0.005286365351176988
M3_RandomForest,region_Zealand,0.0044515155005747774
M3_RandomForest,rolling_regional_std,0.003719024692405381
M3_RandomForest,yield_mortgage_bonds_pct,0.002972498673428978
M4_XGBoost,house_type_Summerhouse,0.17660343647003174
M4_XGBoost,rolling_regional_median,0.1054222360253334
M4_XGBoost,year,0.07958994805812836
M4_XGBoost,region_Zealand,0.0635063424706459
M4_XGBoost,house_type_Villa,0.059087496250867844
M4_XGBoost,house_type_Townhouse,0.040356334298849106
M4_XGBoost,rolling_regional_cv,0.03455759212374687
M4_XGBoost,rolling_regional_p90,0.03183116763830185
M4_XGBoost,sales_type_frequency,0.031320348381996155
M4_XGBoost,house_type_Farm,0.030322952196002007
M4_XGBoost,age_x_villa,0.028954964131116867
M4_XGBoost,sqm,0.02722104638814926
M4_XGBoost,city_frequency,0.025603026151657104
M4_XGBoost,region_Jutland,0.024283800274133682
M4_XGBoost,rolling_regional_mean,0.023896271362900734
M4_XGBoost,zip_code_frequency,0.023289205506443977
M4_XGBoost,size_category_Large,0.022674189880490303
M4_XGBoost,region_Fyn & islands,0.020370347425341606
M4_XGBoost,property_age,0.01422027125954628
M4_XGBoost,year_build,0.013548869639635086
