quarter,n_transactions,year,yield_avg,bond_yield_lag2q,periodo_macro,volume_bond_corr
1992Q1,4972,1992,10.14,,Expansion 90s,
1992Q2,4815,1992,10.14,,Expansion 90s,
1992Q3,4095,1992,10.14,10.14,Expansion 90s,
1992Q4,3486,1992,10.14,10.14,Expansion 90s,
1993Q1,3514,1993,8.16,10.14,Expansion 90s,
1993Q2,4687,1993,8.16,10.14,Expansion 90s,
1993Q3,5174,1993,8.16,8.16,Expansion 90s,-0.745
1993Q4,4959,1993,8.16,8.16,Expansion 90s,-0.792
1994Q1,4758,1994,8.39,8.16,Expansion 90s,-0.792
1994Q2,5894,1994,8.39,8.16,Expansion 90s,-0.805
1994Q3,4860,1994,8.39,8.39,Expansion 90s,-0.794
1994Q4,4829,1994,8.39,8.39,Expansion 90s,-0.711
1995Q1,4995,1995,9.09,8.39,Expansion 90s,-0.41
1995Q2,5998,1995,9.09,8.39,Expansion 90s,-0.028
1995Q3,5536,1995,9.09,9.09,Expansion 90s,0.217
1995Q4,5535,1995,9.09,9.09,Expansion 90s,0.243
1996Q1,5226,1996,7.84,9.09,Expansion 90s,0.025
1996Q2,6600,1996,7.84,9.09,Expansion 90s,0.483
1996Q3,6295,1996,7.84,7.84,Expansion 90s,-0.045
1996Q4,5654,1996,7.84,7.84,Expansion 90s,-0.135
1997Q1,5680,1997,7.2,7.84,Expansion 90s,-0.181
1997Q2,7254,1997,7.2,7.84,Expansion 90s,-0.389
1997Q3,6895,1997,7.2,7.2,Expansion 90s,-0.479
1997Q4,6121,1997,7.2,7.2,Expansion 90s,-0.322
1998Q1,6677,1998,6.27,7.2,Expansion 90s,-0.027
1998Q2,7742,1998,6.27,7.2,Expansion 90s,-0.459
1998Q3,6244,1998,6.27,6.27,Expansion 90s,-0.137
1998Q4,5970,1998,6.27,6.27,Expansion 90s,0.25
1999Q1,6197,1999,6.6,6.27,Expansion 90s,0.696
1999Q2,8131,1999,6.6,6.27,Expansion 90s,0.149
1999Q3,6928,1999,6.6,6.6,Expansion 90s,0.126
1999Q4,6405,1999,6.6,6.6,Expansion 90s,0.321
2000Q1,6996,2000,7.33,6.6,Boom Pre-Crisis,0.456
2000Q2,7684,2000,7.33,6.6,Boom Pre-Crisis,0.256
2000Q3,6928,2000,7.33,7.33,Boom Pre-Crisis,0.086
2000Q4,6447,2000,7.33,7.33,Boom Pre-Crisis,-0.28
