fold,model,train_start,train_end,test_start,test_end,n_train,n_test,r2,mae,mape_pct,rmse,fit_time_s
1,M1_Linear,1992,1998,1998,2003,148866,148863,0.14202696699241357,546679.426910086,50.18260893679041,1011496.9189600933,0.3
1,M2_Ridge,1992,1998,1998,2003,148866,148863,0.13468790009403286,549564.0297025815,50.04597233490341,1015813.8589146396,0.2
1,M3_RandomForest,1992,1998,1998,2003,148866,148863,0.06238992559430945,538502.7974829995,38.47096086163286,1057398.957563123,21.6
1,M4_XGBoost,1992,1998,1998,2003,148866,148863,0.12575670582692722,499195.65224002104,35.96311217848709,1021042.689647635,5.8
2,M1_Linear,1992,2003,2003,2007,297729,148863,0.13407425392708672,733314.6377683858,52.932112072609684,1325830.3887865825,0.5
2,M2_Ridge,1992,2003,2003,2007,297729,148863,0.131073849219406,734187.537315688,52.79164339451044,1328125.3821973256,0.2
2,M3_RandomForest,1992,2003,2003,2007,297729,148863,0.09301795714188243,717925.9412624347,42.22671326842568,1356897.327709476,46.1
2,M4_XGBoost,1992,2003,2003,2007,297729,148863,0.21152132890804942,651097.5753095967,39.056390011202694,1265151.741860147,6.6
3,M1_Linear,1992,2007,2007,2011,446592,148863,0.10538426918149546,934597.3653797272,76.48288048708855,1495170.1420333786,0.9
3,M2_Ridge,1992,2007,2007,2011,446592,148863,0.10740422101778924,933450.855027195,76.40277682652797,1493481.2166614118,0.3
3,M3_RandomForest,1992,2007,2007,2011,446592,148863,0.20179303348354172,754893.1590260674,47.94668982832741,1412310.2382460088,67.8
3,M4_XGBoost,1992,2007,2007,2011,446592,148863,0.35659450649971514,671445.2292913619,45.38469165767777,1267986.8010960992,7.1
4,M1_Linear,1992,2011,2011,2015,595455,148863,0.22069144740820057,879854.3014623974,67.55979482029747,1458539.7760180887,1.0
4,M2_Ridge,1992,2011,2011,2015,595455,148863,0.2209757523739333,879966.5495012654,67.60390535257073,1458273.701735809,0.3
4,M3_RandomForest,1992,2011,2011,2015,595455,148863,0.267532543849445,789161.9083222828,52.37461178183517,1414027.0674953319,96.9
4,M4_XGBoost,1992,2011,2011,2015,595455,148863,0.4140813652078488,669141.1604801898,43.83199779140688,1264684.5453298383,7.9
5,M1_Linear,1992,2015,2015,2017,744318,148863,0.2147999555429354,960086.8681568095,64.77095481509423,1571578.0486490875,1.2
5,M2_Ridge,1992,2015,2015,2017,744318,148863,0.2149368390896187,960103.9896348796,64.75619005357242,1571441.0564551207,0.4
5,M3_RandomForest,1992,2015,2015,2017,744318,148863,0.2741467735301816,868775.6599102592,48.73741490385223,1511019.9631319847,134.7
5,M4_XGBoost,1992,2015,2015,2017,744318,148863,0.4954076054923561,673516.8820453832,37.85068008113501,1259842.1854338474,8.7
