quarter,year,region,avg_sqm_price_real,n_transactions,yield_mortgage_bonds_pct,base_year_price,regional_index
1996Q1,1996,Bornholm,8520.5,54,7.8,8520.504074074073,100.0
1996Q2,1996,Bornholm,7140.4,55,7.8,8520.504074074073,83.8
1996Q3,1996,Bornholm,10904.0,61,7.8,8520.504074074073,127.97
1996Q4,1996,Bornholm,11702.2,56,7.8,8520.504074074073,137.34
1997Q1,1997,Bornholm,9181.7,47,7.2,8520.504074074073,107.76
1997Q2,1997,Bornholm,8911.4,60,7.2,8520.504074074073,104.59
1997Q3,1997,Bornholm,13136.0,75,7.2,8520.504074074073,154.17
1997Q4,1997,Bornholm,8381.7,45,7.2,8520.504074074073,98.37
1998Q1,1998,Bornholm,7893.6,51,6.3,8520.504074074073,92.64
1998Q2,1998,Bornholm,9009.2,66,6.3,8520.504074074073,105.74
1998Q3,1998,Bornholm,8591.7,56,6.3,8520.504074074073,100.84
1998Q4,1998,Bornholm,8122.1,51,6.3,8520.504074074073,95.32
1999Q1,1999,Bornholm,7734.8,54,6.6,8520.504074074073,90.78
1999Q2,1999,Bornholm,15019.8,73,6.6,8520.504074074073,176.28
1999Q3,1999,Bornholm,8772.1,66,6.6,8520.504074074073,102.95
1999Q4,1999,Bornholm,8685.4,53,6.6,8520.504074074073,101.94
2000Q1,2000,Bornholm,9223.6,55,7.3,8520.504074074073,108.25
2000Q2,2000,Bornholm,8718.5,79,7.3,8520.504074074073,102.32
2000Q3,2000,Bornholm,8248.6,70,7.3,8520.504074074073,96.81
2000Q4,2000,Bornholm,8890.6,59,7.3,8520.504074074073,104.34
2001Q1,2001,Bornholm,9278.7,71,7.0,8520.504074074073,108.9
2001Q2,2001,Bornholm,10518.0,86,7.0,8520.504074074073,123.44
2001Q3,2001,Bornholm,8570.0,75,7.0,8520.504074074073,100.58
2001Q4,2001,Bornholm,8536.2,56,7.0,8520.504074074073,100.18
2002Q1,2002,Bornholm,8482.4,66,6.7,8520.504074074073,99.55
2002Q2,2002,Bornholm,8437.3,82,6.7,8520.504074074073,99.02
2002Q3,2002,Bornholm,15220.8,90,6.7,8520.504074074073,178.64
2002Q4,2002,Bornholm,9307.2,64,6.7,8520.504074074073,109.23
2003Q1,2003,Bornholm,8904.3,77,5.1,8520.504074074073,104.5
2003Q2,2003,Bornholm,11963.5,102,5.1,8520.504074074073,140.41
2003Q3,2003,Bornholm,10735.0,100,5.1,8520.504074074073,125.99
2003Q4,2003,Bornholm,13168.0,86,5.1,8520.504074074073,154.55
2004Q1,2004,Bornholm,10504.9,90,5.3,8520.504074074073,123.29
2004Q2,2004,Bornholm,10273.8,88,5.3,8520.504074074073,120.58
2004Q3,2004,Bornholm,9615.5,56,5.3,8520.504074074073,112.85
2004Q4,2004,Bornholm,11064.5,82,5.3,8520.504074074073,129.86
2005Q1,2005,Bornholm,13844.9,91,4.4,8520.504074074073,162.49
2005Q2,2005,Bornholm,13311.6,131,4.4,8520.504074074073,156.23
2005Q3,2005,Bornholm,12217.5,137,4.4,8520.504074074073,143.39
2005Q4,2005,Bornholm,14309.1,112,4.4,8520.504074074073,167.94
2006Q1,2006,Bornholm,12373.8,113,5.1,8520.504074074073,145.22
2006Q2,2006,Bornholm,12447.2,124,5.1,8520.504074074073,146.09
2006Q3,2006,Bornholm,12587.7,112,5.1,8520.504074074073,147.73
2006Q4,2006,Bornholm,14930.1,111,5.1,8520.504074074073,175.23
2007Q1,2007,Bornholm,15882.4,135,5.7,8520.504074074073,186.4
2007Q2,2007,Bornholm,16302.8,122,5.7,8520.504074074073,191.34
2007Q3,2007,Bornholm,15824.7,114,5.7,8520.504074074073,185.72
2007Q4,2007,Bornholm,14045.2,89,5.7,8520.504074074073,164.84
2008Q1,2008,Bornholm,14281.2,81,6.5,8520.504074074073,167.61
2008Q2,2008,Bornholm,12967.6,104,6.5,8520.504074074073,152.19
2008Q3,2008,Bornholm,17045.8,89,6.5,8520.504074074073,200.06
2008Q4,2008,Bornholm,15417.1,62,6.5,8520.504074074073,180.94
2009Q1,2009,Bornholm,14646.6,41,5.5,8520.504074074073,171.9
2009Q2,2009,Bornholm,14412.2,66,5.5,8520.504074074073,169.15
2009Q3,2009,Bornholm,12918.8,79,5.5,8520.504074074073,151.62
2009Q4,2009,Bornholm,19376.0,85,5.5,8520.504074074073,227.4
2010Q1,2010,Bornholm,12756.2,65,4.5,8520.504074074073,149.71
2010Q2,2010,Bornholm,11828.2,118,4.5,8520.504074074073,138.82
2010Q3,2010,Bornholm,11319.1,117,4.5,8520.504074074073,132.85
2010Q4,2010,Bornholm,12383.8,84,4.5,8520.504074074073,145.34
2011Q1,2011,Bornholm,12820.8,74,4.8,8520.504074074073,150.47
2011Q2,2011,Bornholm,10173.4,75,4.8,8520.504074074073,119.4
2011Q3,2011,Bornholm,10347.0,98,4.8,8520.504074074073,121.44
2011Q4,2011,Bornholm,11349.8,61,4.8,8520.504074074073,133.21
2012Q1,2012,Bornholm,9124.4,53,3.7,8520.504074074073,107.09
2012Q2,2012,Bornholm,9530.5,80,3.7,8520.504074074073,111.85
2012Q3,2012,Bornholm,8702.6,67,3.7,8520.504074074073,102.14
2012Q4,2012,Bornholm,9480.0,69,3.7,8520.504074074073,111.26
2013Q1,2013,Bornholm,9809.0,73,3.5,8520.504074074073,115.12
2013Q2,2013,Bornholm,10571.9,79,3.5,8520.504074074073,124.08
2013Q3,2013,Bornholm,10406.6,106,3.5,8520.504074074073,122.14
2013Q4,2013,Bornholm,21978.6,103,3.5,8520.504074074073,257.95
2014Q1,2014,Bornholm,11402.5,109,3.1,8520.504074074073,133.82
2014Q2,2014,Bornholm,10988.1,101,3.1,8520.504074074073,128.96
2014Q3,2014,Bornholm,9956.8,113,3.1,8520.504074074073,116.86
2014Q4,2014,Bornholm,12127.5,100,3.1,8520.504074074073,142.33
2015Q1,2015,Bornholm,8409.0,106,2.8,8520.504074074073,98.69
2015Q2,2015,Bornholm,10809.6,124,2.8,8520.504074074073,126.87
2015Q3,2015,Bornholm,9899.3,117,2.8,8520.504074074073,116.18
2015Q4,2015,Bornholm,12087.2,98,2.8,8520.504074074073,141.86
