zip_code,city,region,n_years,growth_recent,liquidity_log,price_level,max_drawdown,R,F,M,RFM_score,RFM_code,rfm_segmento
1799,København V,Zealand,13,-0.017,4.6235,63940.2,-21.4406,3,4,5,12,345,Intermedio
2000,Frederiksberg,Zealand,33,0.031,5.4852,53766.0,-38.5845,4,5,5,14,455,Champions (premium caliente-liquido)
2100,København A,Zealand,33,7.7354,5.3891,54205.7,-94.2855,5,5,5,15,555,Champions (premium caliente-liquido)
2150,Nordhavn,Zealand,12,-0.018,4.2639,65984.5,-7.3408,3,4,5,12,345,Intermedio
2200,København N,Zealand,33,0.057,4.9834,54698.3,-61.2588,4,5,5,14,455,Champions (premium caliente-liquido)
2300,København S,Zealand,33,0.0113,6.2882,47249.8,-60.9844,3,5,5,13,355,Intermedio
2400,København NV,Zealand,33,0.0137,4.7412,43231.6,-34.7997,3,5,5,13,355,Intermedio
2450,København SV,Zealand,33,0.0229,4.5908,52117.8,-50.8115,4,4,5,13,445,Champions (premium caliente-liquido)
2500,Valby,Zealand,33,0.022,5.3054,45205.2,-47.9918,3,5,5,13,355,Intermedio
2600,Glostrup,Zealand,33,-0.1058,4.809,31032.7,-41.3818,2,5,5,12,255,"Premium frio (caro, sin momentum)"
2605,Brøndby,Zealand,33,0.0385,4.1961,31164.2,-41.9396,4,3,5,12,435,Intermedio
2610,Rødovre,Zealand,33,-0.0151,5.3071,36858.9,-39.8243,3,5,5,13,355,Intermedio
2620,Albertslund,Zealand,33,-0.0393,4.3311,27770.5,-31.9712,3,4,5,12,345,Intermedio
2625,Vallensbæk,Zealand,33,-0.0242,3.6836,28728.2,-31.8298,3,2,5,10,325,Intermedio
2630,Taastrup,Zealand,33,-0.034,5.3831,27496.1,-51.9387,3,5,5,13,355,Intermedio
2635,Ishøj,Zealand,33,-0.0051,4.5647,25683.9,-42.1282,3,4,5,12,345,Intermedio
2640,Hedehusene,Zealand,33,0.0428,4.6235,26548.4,-52.0436,4,4,5,13,445,Champions (premium caliente-liquido)
2650,Hvidovre,Zealand,33,0.0188,5.4272,37025.1,-36.3244,3,5,5,13,355,Intermedio
2660,Brøndby Strand,Zealand,33,-0.0135,3.7187,30294.7,-42.2511,3,2,5,10,325,Intermedio
2665,Vallensbæk Strand,Zealand,33,-0.0071,4.2498,30175.5,-42.6606,3,3,5,11,335,Intermedio
2670,Greve,Zealand,33,-0.0176,5.305,29332.0,-43.2643,3,5,5,13,355,Intermedio
2680,Solrød Strand,Zealand,33,-0.0063,4.8556,31346.6,-43.0281,3,5,5,13,355,Intermedio
2690,Karlslunde,Zealand,33,0.0465,4.2235,30591.5,-39.59,4,3,5,12,435,Intermedio
2700,Brønshøj,Zealand,33,-0.0643,5.0549,40461.1,-36.9592,2,5,5,12,255,"Premium frio (caro, sin momentum)"
2720,Vanløse,Zealand,33,-0.033,5.0155,43523.8,-33.0766,3,5,5,13,355,Intermedio
2730,Herlev,Zealand,33,0.0401,4.5957,34591.0,-35.8041,4,4,5,13,445,Champions (premium caliente-liquido)
2740,Skovlunde,Zealand,33,-0.0415,4.166,30398.1,-30.8486,3,3,5,11,335,Intermedio
2750,Ballerup,Zealand,33,-0.0678,4.6745,28294.4,-32.2516,2,4,5,11,245,"Premium frio (caro, sin momentum)"
2760,Måløv,Zealand,33,0.0575,3.5501,34759.6,-33.3055,4,2,5,11,425,Intermedio
2765,Smørum,Zealand,33,0.0243,4.4937,29694.7,-36.6673,4,4,5,13,445,Champions (premium caliente-liquido)
2770,Kastrup,Zealand,33,0.0335,5.3096,36996.3,-30.8775,4,5,5,14,455,Champions (premium caliente-liquido)
2791,Dragør,Zealand,33,-0.0043,4.8329,36023.1,-31.3833,3,5,5,13,355,Intermedio
2800,Kongens Lyngby,Zealand,33,-0.0071,5.342,44237.7,-43.6459,3,5,5,13,355,Intermedio
2820,Gentofte,Zealand,33,-0.1011,4.8072,41158.0,-28.968,2,5,5,12,255,"Premium frio (caro, sin momentum)"
2830,Virum,Zealand,33,0.0158,4.9184,45190.4,-31.8109,3,5,5,13,355,Intermedio
2840,Holte,Zealand,33,0.0291,4.6418,40452.3,-35.358,4,4,5,13,445,Champions (premium caliente-liquido)
2850,Nærum,Zealand,33,-0.0276,3.6296,35676.7,-40.3267,3,2,5,10,325,Intermedio
2860,Søborg,Zealand,33,-0.0471,5.1945,38794.0,-31.3069,2,5,5,12,255,"Premium frio (caro, sin momentum)"
2870,Dyssegård,Zealand,33,-0.1203,3.8476,39900.6,-37.4819,2,3,5,10,235,"Premium frio (caro, sin momentum)"
2880,Bagsværd,Zealand,33,-0.0181,4.565,37972.1,-37.9743,3,4,5,12,345,Intermedio
2900,Hellerup,Zealand,33,0.0319,4.808,54446.1,-29.4065,4,5,5,14,455,Champions (premium caliente-liquido)
2920,Charlottenlund,Zealand,33,-0.056,4.7778,49393.4,-40.1257,2,5,5,12,255,"Premium frio (caro, sin momentum)"
2930,Klampenborg,Zealand,33,0.0378,2.9316,59200.1,-44.6301,4,1,5,10,415,Intermedio
2950,Vedbæk,Zealand,33,0.1207,3.8687,46817.7,-40.6851,5,3,5,13,535,Intermedio
2960,Rungsted Kyst,Zealand,33,0.0675,3.5326,44872.0,-30.3772,4,2,5,11,425,Intermedio
2970,Hørsholm,Zealand,33,0.0293,4.8917,36732.0,-68.4838,4,5,5,14,455,Champions (premium caliente-liquido)
2980,Kokkedal,Zealand,33,0.0356,4.2177,25457.5,-46.0327,4,3,5,12,435,Intermedio
2990,Nivå,Zealand,33,0.0605,3.9372,30041.8,-39.9098,4,3,5,12,435,Intermedio
