model,scope,region,rmse,mae,mape,skill_vs_naive,n
naive,GLOBAL,ALL,1331.3084929721326,904.5340909090896,5.450757895216199,0.0,132
naive,REGION,Bornholm,2294.6637180598295,1804.0818181818145,12.85153394084421,0.0,33
naive,REGION,Fyn & islands,733.1694310044631,563.3545454545444,3.2920474565684357,0.0,33
naive,REGION,Jutland,756.7954483462305,581.1303030303064,3.3688244292392513,0.0,33
naive,REGION,Zealand,844.8496136365235,669.5696969696927,2.290625754212906,0.0,33
seasonal_naive,GLOBAL,ALL,1749.094865393547,1289.1619340370587,7.291178922519655,-0.3138163503251681,132
seasonal_naive,REGION,Bornholm,2524.8776945340633,1991.8461779265097,13.997977534471545,-0.10032580140713732,33
seasonal_naive,REGION,Fyn & islands,1267.5717652165122,1006.823515788802,5.939866673757199,-0.7288933657257131,33
seasonal_naive,REGION,Jutland,1058.5821426821944,774.4901636450466,4.49689095651854,-0.3987691720337856,33
seasonal_naive,REGION,Zealand,1770.5902087860145,1383.4878787878777,4.729980525331337,-1.0957460123166594,33
ridge_lags,GLOBAL,ALL,1216.9888795748445,842.2283783011541,4.917776207572054,0.08587011500397679,132
ridge_lags,REGION,Bornholm,1853.8105739744792,1415.396457566818,10.052632831116037,0.19212102436434475,33
ridge_lags,REGION,Fyn & islands,836.9182572358769,635.947017043741,3.738469385943255,-0.14150729946456564,33
ridge_lags,REGION,Jutland,797.6133852560248,561.2039903009346,3.2972161306693226,-0.053935230449642324,33
ridge_lags,REGION,Zealand,1072.853580979921,756.3660482931228,2.582786482559604,-0.2698752105265101,33
xgboost_lags,GLOBAL,ALL,1362.6317693961003,972.6573630360176,5.669435840309397,-0.02352818793639533,132
xgboost_lags,REGION,Bornholm,2174.6301456171277,1709.247399532379,12.099773466758705,0.05230987508016727,33
xgboost_lags,REGION,Fyn & islands,878.781940498362,684.0652880899239,4.018744143556147,-0.1986069022195942,33
xgboost_lags,REGION,Jutland,810.3783954010928,599.7863503028972,3.4951359772276316,-0.07080241718148961,33
xgboost_lags,REGION,Zealand,1126.5319538142269,897.5304142188703,3.0640897736951014,-0.33341121973796684,33
rnn,GLOBAL,ALL,1468.6457862217549,1140.8985056149875,6.312240518168988,-0.10315963127600747,132
rnn,REGION,Bornholm,1858.544760849942,1443.856195318915,10.018285316126153,0.1900578955327853,33
rnn,REGION,Fyn & islands,877.2505483297912,713.9132701573174,4.160930082869626,-0.1965181733340038,33
rnn,REGION,Jutland,1300.723806961348,1093.7586163149274,6.477605545127325,-0.7187257267518246,33
rnn,REGION,Zealand,1646.8279226816496,1312.0659406687905,4.592141128552851,-0.9492556972277415,33
gru,GLOBAL,ALL,1332.748950216569,945.1274119247239,5.494686549590708,-0.0010819860701261064,132
gru,REGION,Bornholm,1888.4012453888072,1405.7448551685777,10.053492565867872,0.1770466275618473,33
gru,REGION,Fyn & islands,1139.7200040157584,866.2892430110446,5.187289412469339,-0.5545110800027617,33
gru,REGION,Jutland,867.2092971790192,629.9552847105144,3.7200160621916343,-0.14589655510490718,33
gru,REGION,Zealand,1219.756590865595,878.5202648087591,3.017948157833986,-0.4437558722615056,33
lstm,GLOBAL,ALL,1320.0813717041888,943.7448586207221,5.564835122908429,0.008433147784462358,132
lstm,REGION,Bornholm,1919.2252141982513,1444.9382861984993,10.340178630003527,0.16361373603754747,33
lstm,REGION,Fyn & islands,1125.5930572068714,859.8623146575147,5.155177586948202,-0.535242755095199,33
lstm,REGION,Jutland,933.0738547047026,689.5862601120537,4.097161817588865,-0.23292741353516377,33
lstm,REGION,Zealand,1072.1228195041485,780.5925735148209,2.6668224570931245,-0.2690102501075462,33
