quarter,house_type,avg_sqm_price_real,pct_change,volatility_4q
1992Q1,Apartment,37647.5,,
1992Q2,Apartment,30972.7,-17.73,
1992Q3,Apartment,38683.2,24.89,30.137
1992Q4,Apartment,34807.1,-10.02,22.711
1993Q1,Apartment,36995.8,6.29,18.893
1993Q2,Apartment,43167.8,16.68,15.052
1993Q3,Apartment,29609.6,-31.41,20.973
1993Q4,Apartment,33669.0,13.71,22.252
1994Q1,Apartment,31536.5,-6.33,22.206
1994Q2,Apartment,31458.6,-0.25,18.862
1994Q3,Apartment,31737.7,0.89,8.422
1994Q4,Apartment,38427.3,21.08,11.917
1995Q1,Apartment,28417.9,-26.05,19.314
1995Q2,Apartment,26940.5,-5.2,19.402
1995Q3,Apartment,27454.1,1.91,19.464
1995Q4,Apartment,32401.3,18.02,18.275
1996Q1,Apartment,32235.7,-0.51,10.085
1996Q2,Apartment,31459.7,-2.41,9.347
1996Q3,Apartment,27154.4,-13.69,13.137
1996Q4,Apartment,25657.5,-5.51,5.817
1997Q1,Apartment,28328.2,10.41,10.01
1997Q2,Apartment,31292.7,10.46,12.04
1997Q3,Apartment,37216.5,18.93,10.207
1997Q4,Apartment,31511.2,-15.33,14.849
1998Q1,Apartment,28402.6,-9.86,16.285
1998Q2,Apartment,30308.4,6.71,15.658
1998Q3,Apartment,28805.8,-4.96,9.39
1998Q4,Apartment,39588.5,37.43,21.236
1999Q1,Apartment,29133.3,-26.41,26.629
1999Q2,Apartment,33856.4,16.21,27.458
1999Q3,Apartment,25416.1,-24.93,31.525
1999Q4,Apartment,29821.2,17.33,24.514
2000Q1,Apartment,36315.1,21.78,21.818
2000Q2,Apartment,34868.0,-3.98,21.494
2000Q3,Apartment,30206.3,-13.37,16.842
2000Q4,Apartment,29653.1,-1.83,14.951
2001Q1,Apartment,30203.1,1.85,6.488
2001Q2,Apartment,31120.2,3.04,7.488
2001Q3,Apartment,31535.2,1.33,2.079
2001Q4,Apartment,33635.4,6.66,2.402
2002Q1,Apartment,27115.1,-19.39,11.745
2002Q2,Apartment,32954.2,21.53,16.931
2002Q3,Apartment,27369.6,-16.95,19.618
2002Q4,Apartment,32332.8,18.13,22.006
2003Q1,Apartment,29734.5,-8.04,19.065
2003Q2,Apartment,33082.6,11.26,16.356
2003Q3,Apartment,27080.7,-18.14,16.799
2003Q4,Apartment,29435.9,8.7,13.982
2004Q1,Apartment,28660.3,-2.63,13.395
2004Q2,Apartment,30819.6,7.53,12.426
2004Q3,Apartment,27955.8,-9.29,8.582
2004Q4,Apartment,32149.5,15.0,10.751
2005Q1,Apartment,30962.7,-3.69,10.936
2005Q2,Apartment,32841.8,6.07,10.73
2005Q3,Apartment,33362.5,1.59,7.917
