zip_code,city,region,n_years,price_level,cagr_real,volatility,max_drawdown,liquidity_log,growth_recent,pca1,pca2,tsne1,tsne2,cluster,cluster_label
1799,København V,Zealand,13,63940.2,0.0396,1.1162,-21.4406,4.6235,-0.017,1.767,1.581,38.0477,5.6084,0,Precio alto / dinamico / estable
2000,Frederiksberg,Zealand,33,53766.0,0.0325,0.2158,-38.5845,5.4852,0.031,3.4539,-0.1503,35.69,6.6614,0,Precio alto / dinamico / estable
2100,København A,Zealand,33,54205.7,0.0123,2.845,-94.2855,5.3891,7.7354,-1.172,3.1914,-33.2056,-5.8202,1,Precio bajo / plano / volatil
2150,Nordhavn,Zealand,12,65984.5,0.0337,0.0742,-7.3408,4.2639,-0.018,3.8901,0.0838,35.046,2.2707,0,Precio alto / dinamico / estable
2200,København N,Zealand,33,54698.3,0.0008,0.2678,-61.2588,4.9834,0.057,1.1495,-0.6046,4.7359,19.4847,0,Precio alto / dinamico / estable
2300,København S,Zealand,33,47249.8,0.0296,0.2996,-60.9844,6.2882,0.0113,2.2014,-0.3139,35.7937,8.7546,0,Precio alto / dinamico / estable
2400,København NV,Zealand,33,43231.6,0.0414,0.1565,-34.7997,4.7412,0.0137,3.2986,0.36,34.5736,4.3666,0,Precio alto / dinamico / estable
2450,København SV,Zealand,33,52117.8,0.0545,0.4153,-50.8115,4.5908,0.0229,2.4788,1.1633,37.1238,5.6553,0,Precio alto / dinamico / estable
2500,Valby,Zealand,33,45205.2,0.0296,0.2866,-47.9918,5.3054,0.022,2.3576,-0.0315,35.28,7.8523,0,Precio alto / dinamico / estable
2600,Glostrup,Zealand,33,31032.7,0.0217,0.2261,-41.3818,4.809,-0.1058,1.4788,-0.7873,23.6728,9.7427,0,Precio alto / dinamico / estable
2605,Brøndby,Zealand,33,31164.2,0.0295,0.1293,-41.9396,4.1961,0.0385,1.915,0.2766,26.0395,0.2467,0,Precio alto / dinamico / estable
2610,Rødovre,Zealand,33,36858.9,0.0241,0.1483,-39.8243,5.3071,-0.0151,2.358,-0.7515,30.2235,8.6517,0,Precio alto / dinamico / estable
2620,Albertslund,Zealand,33,27770.5,0.0267,0.0973,-31.9712,4.3311,-0.0393,2.0671,-0.396,23.6068,3.8385,0,Precio alto / dinamico / estable
2625,Vallensbæk,Zealand,33,28728.2,0.0226,0.1158,-31.8298,3.6836,-0.0242,1.6907,-0.0763,22.06,2.2077,0,Precio alto / dinamico / estable
2630,Taastrup,Zealand,33,27496.1,0.0249,0.2054,-51.9387,5.3831,-0.034,1.3819,-0.6749,10.6337,11.0092,0,Precio alto / dinamico / estable
2635,Ishøj,Zealand,33,25683.9,0.0255,0.1163,-42.1282,4.5647,-0.0051,1.6246,-0.3202,23.8336,1.4233,0,Precio alto / dinamico / estable
2640,Hedehusene,Zealand,33,26548.4,0.0249,0.266,-52.0436,4.6235,0.0428,0.9852,0.1453,9.1356,6.6701,0,Precio alto / dinamico / estable
2650,Hvidovre,Zealand,33,37025.1,0.0341,0.0997,-36.3244,5.4272,0.0188,3.0718,-0.4294,31.8019,7.6498,0,Precio alto / dinamico / estable
